run,layer_number,layer_code,wire,value,local_median,robust_z,reason
23003,1,11,1,0.66097121,0.500051822,7.231222070296002,outlier
23008,1,11,1,0.748474632,0.576376287,7.733569994843723,outlier
23011,1,11,1,0.889194148,0.656112931,10.473952588869222,outlier
23014,1,11,1,0.386466429,0.635674027,-11.198622522371593,low/dead
23015,1,11,1,0.39525794,0.635674027,-10.803559073743203,low/dead
23052,1,11,1,0.24665427,0.613902435,-16.503002335701815,low/dead
23053,1,11,1,0.437684362,0.613902435,-7.918697892777416,outlier
23054,1,11,1,0.42199272,0.544524237,-5.506189285515114,low/dead
23055,1,11,1,0.382371213,0.5385127805000001,-7.01652152067974,low/dead
23057,1,11,1,0.637911646,0.485092843,6.8672067097956955,outlier
21317,1,11,2,0.046143845,0.07436969900000001,-1.2998385621388286,low/dead
21322,1,11,2,0.054122673,0.082793079,-1.3203107800024911,low/dead
21323,1,11,2,0.065946319,0.08309823499999999,-0.7898688142922424,low/dead
21325,1,11,2,0.089120872,0.082891947,0.2868503789352348,low/dead
21326,1,11,2,0.082793079,0.083147669,-0.016329346695720576,low/dead
21327,1,11,2,0.08514572,0.083403391,0.08023659521985706,low/dead
21328,1,11,2,0.083403391,0.083403391,0.0,low/dead
21329,1,11,2,0.085103702,0.084065627,0.047804750757665763,low/dead
21331,1,11,2,0.082891947,0.084065627,-0.05404954350047702,low/dead
21333,1,11,2,0.088086159,0.083403391,0.2156477683172924,low/dead
21334,1,11,2,0.084065627,0.083403391,0.03049685901573014,low/dead
21335,1,11,2,0.083075951,0.083075951,0.0,low/dead
21336,1,11,2,0.084777542,0.082891947,0.08683418732259328,low/dead
21339,1,11,2,0.05283812,0.05283812,0.0,low/dead
21340,1,11,2,0.01039212,0.022532207,-0.5590673440853297,low/dead
21341,1,11,2,0.010146581,0.011707639,-0.07188882172122464,low/dead
21342,1,11,2,0.009650429,0.01039212,-0.034155868693691555,low/dead
21343,1,11,2,0.022532207,0.010146581,0.570374745473752,low/dead
21344,1,11,2,0.011707639,0.009650429,0.0947372890264939,low/dead
21345,1,11,2,0.007840636,0.007840636,0.0,low/dead
21346,1,11,2,0.007014619,0.007014619,0.0,low/dead
21347,1,11,2,0.006569048,0.007014619,-0.02051914418500001,low/dead
21348,1,11,2,0.00623915,0.007014619,-0.03571139105102843,low/dead
21349,1,11,2,0.00390455,0.007014619,-0.14322286287998737,low/dead
21350,1,11,2,0.004637749,0.007014619,-0.10945806221455394,low/dead
21351,1,11,2,0.005864248,0.007014619,-0.05297613268198035,low/dead
21352,1,11,2,0.007639485,0.007639485,0.0,low/dead
21353,1,11,2,0.009229901,0.008443987,0.03619239735757067,low/dead
21354,1,11,2,0.008443987,0.009229901,-0.03619239735757067,low/dead
21355,1,11,2,0.00991087,0.00991087,0.0,low/dead
21356,1,11,2,0.00994225,0.00994225,0.0,low/dead
21357,1,11,2,0.011402579,0.011402579,0.0,low/dead
21358,1,11,2,0.012257148,0.012257148,0.0,low/dead
21385,1,11,2,0.148585252,0.144124814,0.20540917261278985,low/dead
21386,1,11,2,0.147809329,0.144469141,0.15382015251667355,low/dead
21387,1,11,2,0.146804825,0.144802134,0.09222661570659202,low/dead
21388,1,11,2,0.144124814,0.144802134,-0.031191497515288033,low/dead
21389,1,11,2,0.144469141,0.146804825,-0.1075613914877712,low/dead
21390,1,11,2,0.162403018,0.146804825,0.7183177791922238,low/dead
21391,1,11,2,0.147949868,0.144802134,0.14495738681832335,low/dead
21392,1,11,2,0.144802134,0.144469141,0.015334775781179182,low/dead
21393,1,11,2,0.138072056,0.144124814,-0.2787376515053992,low/dead
21394,1,11,2,0.183044684,0.139412695,2.009311811965625,low/dead
21395,1,11,2,0.139412695,0.138072056,0.06173823013848376,low/dead
21397,1,11,2,0.13765362,0.13765362,0.0,low/dead
21398,1,11,2,0.135695055,0.135695055,0.0,low/dead
21399,1,11,2,0.135459842,0.135695055,-0.010831875192026984,low/dead
21400,1,11,2,0.134437736,0.135459842,-0.0470693568171033,low/dead
21401,1,11,2,0.133790864,0.135459842,-0.07685868295645974,low/dead
21402,1,11,2,0.134349788,0.134999855,-0.029936460189084343,low/dead
21403,1,11,2,0.134999855,0.134437736,0.025886336431518272,low/dead
21404,1,11,2,0.140397827,0.134437736,0.2744702114471566,low/dead
21405,1,11,2,0.133378832,0.134437736,-0.04876395423865839,low/dead
21406,1,11,2,0.149684176,0.134999855,0.6762327437329265,low/dead
21407,1,11,2,0.122133579,0.140397827,-0.8410931998325707,low/dead
21414,1,11,2,0.122589202,0.149684176,-1.2477600162372038,low/dead
21415,1,11,2,0.219161881,0.219161881,0.0,low/dead
21416,1,11,2,0.277378323,0.232008052,2.0893620373891597,low/dead
21418,1,11,2,0.258902731,0.256041485,0.13176422887206363,low/dead
21422,1,11,2,0.262242982,0.258902731,0.15382305375145794,low/dead
21423,1,11,2,0.256041485,0.262242982,-0.28558728262352157,low/dead
21424,1,11,2,0.313356115,0.277378323,1.6568257393455605,low/dead
21425,1,11,2,0.232008052,0.296595639,-2.9743453012297345,low/dead
21426,1,11,2,0.316430698,0.296595639,0.9134311603290659,low/dead
21427,1,11,2,0.386872032,0.313356115,3.3855069131866626,low/dead
21428,1,11,2,0.296595639,0.316430698,-0.9134311603290659,low/dead
21429,1,11,2,0.355036298,0.316430698,1.7778398341643338,low/dead
21430,1,11,2,0.446772754,0.355036298,4.224587254747081,low/dead
21432,1,11,2,0.232180229,0.357220814,-5.758287214813693,low/dead
21433,1,11,2,0.379376611,0.379376611,0.0,low/dead
21434,1,11,2,0.357220814,0.379376611,-1.0203042684029944,low/dead
21435,1,11,2,0.301720684,0.446772754,-6.679843029871146,low/dead
21458,1,11,2,0.716256849,0.474501617,11.13315377995007,outlier
21459,1,11,2,0.748093727,0.592524953,7.16415140211029,outlier
21464,1,11,2,0.474501617,0.716256849,-11.13315377995007,outlier
21465,1,11,2,0.592524953,0.716854021,-5.725520899427191,outlier
21482,1,11,2,0.906996812,0.798069375,5.016255064861736,outlier
21551,1,11,2,2.954119418,2.625292326,15.142930111435149,outlier
21554,1,11,2,1.901295387,2.503982292,-27.754543051739034,outlier
21556,1,11,2,1.907270432,2.503982292,-27.479384188467268,outlier
21563,1,11,2,3.262764019,3.124493405,6.367547854807618,outlier
21564,1,11,2,3.256116606,3.14164039,5.2717838051785355,outlier
21604,1,11,2,1.26164651,3.213860681,-89.90208980106267,outlier
21638,1,11,2,2.875309156,3.115053352,-11.040542865763037,outlier
21695,1,11,2,2.935122728,3.090887369,-7.173171341051734,outlier
21697,1,11,2,2.769066898,3.090887369,-14.820265785101844,outlier
21712,1,11,2,3.114400469,2.934880321,8.26714440779257,outlier
21833,1,11,2,0.430541653,0.442173008,-0.5356395508503023,low/dead
21834,1,11,2,0.404484166,0.434584967,-1.3861823947316887,low/dead
21836,1,11,2,0.434584967,0.433241947,0.06184787839275486,low/dead
